,ema_fast,ema_slow,rsi_long,rsi_short,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades
859,5,100,65,35,22.34,3.42,0.3501,0.4381,-89.8,1.0121,314
860,5,50,50,45,21.49,3.3,0.3477,0.4341,-83.98,1.0121,36
861,8,50,65,35,20.81,3.2,0.3473,0.4379,-91.05,1.012,425
862,8,50,50,30,21.47,3.3,0.3468,0.4348,-81.58,1.0121,23
863,8,150,50,40,21.19,3.26,0.3461,0.4297,-82.6,1.0121,21
864,5,50,70,30,20.07,3.1,0.346,0.4385,-88.06,1.012,669
865,12,100,50,30,20.31,3.13,0.344,0.4347,-64.83,1.012,15
866,12,100,50,35,20.31,3.13,0.344,0.4347,-64.83,1.012,15
867,20,200,60,35,19.09,2.96,0.3416,0.4238,-85.09,1.0119,50
868,8,30,55,30,18.41,2.86,0.3415,0.4256,-90.07,1.0118,276
869,8,30,60,30,18.01,2.8,0.3408,0.4312,-85.43,1.0118,584
870,15,200,55,45,28.17,4.22,0.3399,0.398,-82.15,1.0126,10
871,5,100,70,35,17.42,2.71,0.3385,0.4235,-87.27,1.0117,366
872,20,30,55,30,16.7,2.61,0.3371,0.4205,-83.52,1.0117,92
873,8,150,50,45,17.29,2.69,0.3367,0.418,-83.3,1.0118,16
874,20,30,55,35,16.32,2.55,0.3362,0.4197,-80.56,1.0116,82
875,15,30,55,30,15.97,2.5,0.3353,0.4186,-80.02,1.0116,102
876,10,50,55,30,15.43,2.42,0.3336,0.4179,-85.77,1.0116,102
877,20,30,60,35,15.09,2.37,0.3333,0.4169,-86.07,1.0115,236
878,15,50,55,30,15.26,2.4,0.333,0.42,-75.58,1.0115,78
879,20,200,55,35,14.5,2.28,0.3302,0.4124,-85.59,1.0115,20
880,8,50,65,30,13.45,2.13,0.3296,0.4154,-91.17,1.0114,485
881,12,20,60,45,13.27,2.1,0.3285,0.4131,-93.37,1.0114,217
882,8,30,65,35,11.44,1.82,0.3247,0.4111,-87.35,1.0112,651
883,8,50,50,50,12.53,1.99,0.3221,0.3908,-87.77,1.0114,10
884,8,50,50,35,11.32,1.8,0.3219,0.4032,-83.12,1.0112,23
885,5,20,60,45,10.08,1.61,0.3209,0.4056,-94.24,1.0111,581
886,12,30,55,40,6.87,1.11,0.3121,0.3893,-72.16,1.0108,148
887,8,30,65,30,5.14,0.84,0.3083,0.3905,-85.7,1.0106,699
888,12,200,65,30,5.76,0.94,0.3081,0.3841,-90.78,1.0107,115
889,10,150,50,50,8.46,1.36,0.3069,0.3696,-79.06,1.0111,9
890,12,20,65,40,4.35,0.71,0.3057,0.3879,-87.18,1.0106,515
891,12,30,65,35,0.65,0.11,0.2954,0.374,-85.58,1.0102,475
892,10,150,55,45,1.12,0.19,0.2952,0.37,-91.39,1.0102,35
