Date,Content,Video title,Video publish time,Duration,Average view duration
2021-05-17,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-18,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-19,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-20,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-21,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-22,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-23,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-24,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-25,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-26,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-27,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-28,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
